['Cl[Cu]O[Cu]O[Cu]Cl'], 0.0
['[O]12[O]3[Zr]456789%10%111[Zr]1%12%13%14%15%16%1723([O]4[O]51)[O]12346[O]56%10%15[Zr]%10%15%18%19%20%21%22%231[O]1%24%11%16[Zr]%11%16%25%26%2735%10([O]%15[O]%20%16)([O]%18[O]%19%11)[O]35%10%11%21[Zr]%15%16%18%19%20%21%28%291[O]1%30%318%13[O]89%14%15[Zr]9%13%14%15%32%33%34%35%36%30[O]%30%37%387%12[O]7%12%179[Zr]9%17%39%40%41%42%432%30[Zr]2%30%44%4546%377([O]46%22%259[O]7%27%42%44[Zr]9%22%25%27%37%42%44%104[O]4%14%43%45[Zr]%10%14%431%13%38%12([O]%15[O]%34%14)([O]%32[O]%33%10)[O]1%10%19%359[Zr]9%12%13%243%16%318([O]%23%265%18[Zr]35%1167%254%10([O]%36%22%4319)([O]%27[O]%445)[O]%37[O]%423)([O]%20[O]%29%13)[O]%21[O]%28%12)([O]%17[O]%41%30)[O]%39[O]%402', '[O]12[O]3[Zr]456789%10%111[Zr]1%12%13%14%15%16%1723([O]4[O]51)[O]12346[O]56%18%17[Zr]%17%19%20%21%22%23%24%251[O]1%26%278%13[O]8%139%14[Zr]9%14%28%2936%171([O]%19[O]%22%14)([O]%20[O]%219)[O]1369%23[Zr]%14%17%19%20%21%22%23%268[O]8%26%11%16[Zr]%11%16%30%31%32%33%34%35%36[O]%37%38%397%12[O]7%10%15%11[Zr]%10%11%12%15%40%41%424%18%38[Zr]4%18%38%4325%37([O]2%25%29%10[Zr]5%10%25%29%37%44%45%466[O]6%24%283[Zr]3%24%28%27%131%14%26([O]1%13%17%35%25[Zr]%14%17%25%268%16%397([O]7%30%41%385[O]%42%43%10%14[Zr]5892%296%137([O]%19%3631%26)([O]%37[O]%468)[O]%44[O]%455)([O]%31[O]%34%25)[O]%32[O]%33%17)([O]%20[O]%23%28)[O]%21[O]%22%24)([O]%11[O]%40%18)[O]%12[O]%154'], 0.2711864406779661
['[Zr]1[Zr]2[Zr]3[Zr][Zr]45[Zr]1[Zr]1[Zr][Zr]2[Zr]2[Zr]6[Zr]3[Zr][Zr]5[Zr]([Zr]41[Zr]2)[Zr]6'], 0.2736077481840194
['[OH2][Zr]1234567[OH]89[O]%101[Zr]1%11%12%13%148[OH]82[O]31[Zr]123%15%168[OH]84[O]71[Zr]147%17%188([OH]85[O]61[Zr]1569%108[OH]8%13[O]%141[Zr]19%108([OH]%112[O]%1231)([OH]45[O]769)[OH]%15%17[O]%16%18%10)[OH2]', '[OH][Zr]1234567[OH]89[O]%101[Zr]1%11%12%13%148[OH]82[O]31[Zr]123%15%168[OH]84[O]71[Zr]147%17%188([OH]85[O]61[Zr]1569%108[OH]8%13[O]%141[Zr]19%108([OH]%112[O]%1231)([OH]45[O]769)[OH]%15%17[O]%16%18%10)[OH]'], 0.27602905569007263
['O[Zr]123[OH]4[Zr]56[OH]1[Zr]17[OH]2[Zr]28([OH]3[Zr]34[OH]6[Zr]([OH]51)([OH]23)[OH]78)O'], 0.2784503631961259
['[O]123[OH]45[Zr]6789%101([O]1%11[OH]%126[Zr]6%13%14%15%161[O]1%17[OH]%186[Zr]6%19%20%21%221([O]1%23[OH]%246[Zr]6%25241([O]17[OH]86[Zr]2%17%18%23%241([O]9%15[OH]%10%162)O)[O]1%21[OH]%22%25[Zr]235%11%121([O]%13%19[OH]%14%202)O)O)O', '[O]123[OH]45[Zr]6789%101[O]1%11[OH]%126[Zr]6%13%14%15%161([O]1%17[OH]%186[Zr]6%19%20%21%221[O]1%23[OH]%246[Zr]6%25241([O]1%19[OH]%206[Zr]24351([O]%13%21[OH]%14%222)([O]9%15[OH]%10%164)O)([O]17[OH]8%25[Zr]%11%12%17%18%23%241O)O)O'], 0.28087167070217917
['Cl[Cd]', 'Cl[Cd]Cl'], 0.28329297820823246
['[O]12[Hf]34[O]5[Hf]62[O]2[Hf]71[O]4[Hf]14[O]3[Hf]35[O]6[Hf]2([O]71)[O]43'], 0.28571428571428575
['[Cd]', '[O][Cd]', '[O][Cd][O]'], 0.288135593220339
['[OH2][Ni][OH2][Ni]1[OH2][Ni]([OH2]1)([OH2])[OH2]'], 0.2905569007263923
['[Zn][O]12[Zn][O]3([Zn])[Zn][O]([Zn]2)([Zn][O]([Zn]1)([Zn]3)[Zn])[Zn]'], 0.2929782082324455
['[O][Zn]([O]([Zn]([O])[O])([Zn]([O])[O])[Zn])[O]'], 0.2953995157384988
['O1[Zr]2O[Zr]3O[Zr]4O[Zr]1O[Zr]1O[Zr](O2)O[Zr](O3)O[Zr](O1)O4', '[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43'], 0.29782082324455206
['[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43', '[Zr]12345[O]678[O]9%101[Zr]1%11%126[O]6%134[O]451[Zr]15%146[O]6%152[O]231[Zr]18%106[O]368[Zr]%10%1679[O]79%11[Zr]%11%17%134[O]%12%107[Zr]4789[O]16%16[Zr]1%1523[O]5%114[O]%14%1771'], 0.30024213075060535
['[Fe]1[O]23[Fe][O]1([Fe]2)[Fe]3', '[Fe][O]([Fe])[Fe]'], 0.3026634382566586
['[OH2][Tb]'], 0.3050847457627119
['[O][Hf]123([O])[O]4[Hf]56[O]3[Hf]37([O]2[Hf]28[O]1[Hf]14([O]6[Hf]([O]53)([O]21)([O]78)([O])[O])([O])[O])([O])[O]'], 0.3075060532687651
['[O][Th]123[O]4[Th]5678([O]3[Th]39%10%11([O]2[Th]2%12%13%14([O]1[Th]1%15%164([O]8[Th]([O]73)([O]2%16)([O]9%14)[O])O[O]%15O1)O[O]%13O%12)O[O]%11O%10)O[O]6O5'], 0.3099273607748184
['[O][Th]123([O])[O]4[Th]56789([O]1[Th]1%10([O]2[Th]2%11%12%13%14([O]3[Th]34([O]6[Th]([O]51)([O]23)([O]%10%11)([O])[O])([O])[O])[O]12[O]3%12[O]%131[O]%1423)([O])[O])[O]12[O]37[O]81[O]923'], 0.3123486682808717
['[O][Sc][O]([Sc][OH2])[Sc][O]'], 0.31476997578692495
['[OH2][Fe][O]([Fe][OH2])[Fe][OH2]'], 0.31719128329297824
['[Fe][O]([Fe])[Fe]'], 0.3196125907990315
['[Cu]', '[Cu]1[OH]2[Cu][OH]3[Cu]4562[OH]1[Cu][OH]6[Cu][OH]5[Cu][OH]4[Cu]3'], 0.3220338983050848
['[O][Np]12([O])O[Np]34([O])(F)O[Np]56([O])(F)O[Np]78([O])(F)O[Np]9%10(O[Np]%11%12(O[Np]%13([O]2[Np]2%14(O[Np]%15(O1)([O]4[Np](O5)([O])([O])O[Np]1(O%15)([O]6[Np](O7)([O])([O])O[Np]4(O1)([O]8[Np](O[Np]1(O[Np](O2)([O])(F)(O[Np](O%12)([O]91)([O])[O])[O]%11[Np](O%14)(O%13)([O])[O])(O4)[O])(O%10)([O])[O])[O])[O])[O])([O])F)(O3)[O])[O])([O])F'], 0.324455205811138
['[O][Np]123(F)O[Np]45([O])O[Np]6([O]3[Np]37(O[Np](O1)([O])([O])[O]1[Np]8(O2)([O])O[Np]29([O])O[Np]%10([O]%11[Np]%12(O[Np]%13(O4)([O])O[Np]4([O]5[Np](O6)(O3)([O])(F)O[Np]3([O]%13[Np](O%12)([O])([O])O[Np]%11(O3)(O[Np]3(O[Np]1(O7)([O])(F)O[Np](O8)([O]93)([O])[O])([O])(F)O%10)([O])F)(O4)([O])F)([O])[O])(O2)[O])([O])[O])[O])([O])[O]'], 0.3268765133171913
['[O][Tb]123[O]456[Tb]789[O]%10%113[Tb]347[O]478[Tb]8%12%10[O]%10%132[Tb]2%14%15[O]%16%171[Tb]1%185[Tb]56%16[O]931[Tb]17([O]%14%185[Tb]%102%17[O]%12%151[Tb]%1148%13)[O]'], 0.32929782082324455
['[O]12[Tb]34[O]5[Tb]62[O]2[Tb]71[O]4[Tb]14[O]3[Tb]35[O]6[Tb]2([O]71)[O]43'], 0.33171912832929784
['O1[Mg][O]23([Ga]1)([Mg]O[Ga]3)[Mg]O[Ga]2'], 0.3341404358353511
['O1[Co][O]23([In]1)([Co]O[In]3)[Co]O[In]2'], 0.3365617433414044
['O1[Mg][O]23([In]1)([Mg]O[In]3)[Mg]O[In]2'], 0.33898305084745767
['O1[Mn][O]23([In]1)([Mn]O[In]3)[Mn]O[In]2'], 0.3414043583535109
['O1[Ni][O]23([In]1)([Ni]O[In]3)[Ni]O[In]2'], 0.3438256658595642
['O1[Mg][O]23([V]1)([Mg]O[V]3)[Mg]O[V]2'], 0.34624697336561744
['[Zn]', '[Zn][Zn]'], 0.34866828087167073
['[In]', '[OH3][Mn][OH3]'], 0.35108958837772397
['[In]', '[OH3][Fe][OH3]'], 0.35351089588377727
['[OH2][In]'], 0.3559322033898305
['O1[Hf]2O[Hf]3456[Hf]7891O[Hf](O6)O[Hf]1649[Hf]38(O2)(O[Hf](O7)O6)O[Hf](O5)O1', '[O]12[Hf]34[O]5[Hf]62[O]2[Hf]71[O]4[Hf]14[O]3[Hf]35[O]6[Hf]2([O]71)[O]43'], 0.3583535108958838
['[O][Co][O]([Co][O])[Co][O]'], 0.36077481840193704
['O1[Co][O]23([Ni]1)([Co]O[Ni]3)[Co]O[Ni]2'], 0.36319612590799033
['[O][Ni][O]([Ni][O])[Ni][O]'], 0.3656174334140436
['[O][Mg][O]([Mg][O])[Mg][O]'], 0.36803874092009686
['[O][Fe][O]([Fe][O])[Fe][O]'], 0.37046004842615016
['[O][Mn][O]([Mn][O])[Mn][O]'], 0.3728813559322034
['[O][U]12([O])O[U]3456([O]72[U]28(O1)([O]4[O]52)([O]6([U](O3)(O8)([O])[O])[Zr]123([O]4[Zr]567([O])[O]1[Zr]17[O]5[Zr]589([O]6[Zr]64[O]3[Zr]([O]21)([O]56)([O]78)([O])[O]12[U]3456([O]79[U]81([O]5[O]68)([O])(O[U]2(O3)([O])[O])O[U]7(O4)([O])[O])[O])[O])[O])[O])[O]'], 0.3753026634382567
['[Cu]', '[O][Zr]123[O]4[Zr]56[O]3[Zr]37([O]2[Zr]28[O]1[Zr]14([O]6[Zr]([O]53)([O]21)([O]78)[O])[O])[O]'], 0.37772397094430993
['[OH2][Yb]', '[Yb]'], 0.3801452784503632
['[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14%15%161[O]1%17[O]%186[Zr]6%19%20%11%121[O]1%11[O]%126[Zr]6%21241([O]7%19[O]8%206)[O]12[O]4%21[Zr]67351([O]1%13[O]%146[Zr]%17%18%11%12241)[O]9%15[O]%10%167', '[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14%15%161[O]1%17[O]%186[Zr]6%19%20%21%221[O]1%23[O]%246[Zr]6%25%11%121([O]17[O]86[Zr]635%23%241[O]1%21[O]%226[Zr]324%17%181[O]9%15[O]%10%163)[O]%13%19[O]%14%20%25', '[O]123[O]45[Zr]6789%101[O]1%11[O]%126[Zr]6%13%14%15%161[O]1%17[O]%186[Zr]6%19%20%21%221[O]1%23[O]%246[Zr]6%25241([O]17[O]86[Zr]2%11%12%23%241[O]%13%19[O]%14%202)[O]1%21[O]%22%25[Zr]235%17%181[O]9%15[O]%10%162'], 0.38256658595641646
['[O][Tb]123[OH]4[Tb]567([OH]3[Tb]389([OH]2[Tb]2%10%11([OH]1[Tb]1%124([O]7[Tb]47%13([OH]6[Tb]6([OH]53)([OH]9[Tb]3([OH]%10[Tb]([OH]14)([OH]2%12)([OH]%133)[O])([O]8%11)([OH]76)[O])[O])[O])[O])[O])[O])[O]'], 0.38498789346246975
